GEOID,Megacluster,perMarkSlope,totMarkSlope,opgr500kSlope,slopelargeCropOp,cattlegr500_slope,hogsSlope,SlopeBroilOp,layerSlope,turkeySlope,Adens_Slope,CattleAMUSlope,HogAMUSlope,TurkeyAMUSlope,BroilerAMUSlope,LayerAMU
5001,Medium,2.452096228,6871860,4.32,1,0.1,NA,NA,NA,NA,0.041375266,26.12,-4.976,0.00432,0,0.0442
5003,Low,1.452463934,701980,0.36,0.02,NA,NA,NA,NA,NA,-0.224273862,-100.06,-7.384,-0.00864,-0.0112,-0.0382
5005,Low,1.526318659,581180,0.02,0.14,0.02,NA,NA,NA,-0.12,-0.940132435,-225.32,-14.36,58.1688,-88.0372,-0.3644
5007,Medium,1.162431428,13266120,0.08,0,1.16,-0.26,1.18,0.02,-1.3,-5.9925304,-360,-1006.416,-1077.27408,-188.2938,0
5009,High,1.342559064,4959440,1.82,0.38,0.76,-0.04,-0.56,NA,0.86,1.242507697,503.74,-52.192,853.21476,-925.0324,0
5011,Low,2.449512516,1540560,0.84,0.06,0.04,NA,-0.26,NA,NA,-0.616880448,-119.08,-0.664,0,-87.7144,0
5013,Low,0,224520,0.12,NA,NA,NA,NA,NA,NA,-0.145849867,-46.56,-0.928,0,0,0
5015,High,1.341745264,11457060,3.26,0.02,0.5,-0.04,0.2,0,0.22,5.3328991,373.06,-23.888,1186.42896,204.8692,0
5017,Medium,2.087428982,4514720,2.5,1.58,-0.06,NA,NA,NA,NA,-0.416824163,-138.2,-1.016,0.00648,0.0072,-0.0032
5019,Low,0.521075429,-59160,7.11E-18,-0.04,-0.08,-0.14,NA,NA,NA,-1.537535748,-278.48,-120.272,-0.0126,-291.014,0
5021,Medium,3.309096936,7916620,4.16,1.18,-0.08,NA,0.54,NA,NA,1.5099478,-136.1,-2.872,-0.00252,639.2934,-0.1594
5023,Low,2.56521799,103640,1.12,0.48,0.48,-0.04,-0.42,0,NA,-5.809122289,162.78,1.904,0.00576,-1830.8366,0
5025,Medium,1.284387823,3962360,2.04,-0.02,-0.06,NA,-0.16,NA,NA,4.577767224,-195.18,-0.896,0,1613.5722,0
5027,Low,0.636978521,388300,-0.28,0.08,-0.1,NA,-0.14,NA,NA,-2.012728351,-237.46,-12.512,0.01008,-548.6436,0
5029,Low,2.410140347,4684880,2.32,-0.02,0.24,-0.48,1.4,NA,0,-1.51628032,130.04,-765.816,0.05832,201.9438,0
5031,Medium,2.870454729,6181060,4.08,1.56,0,-0.02,NA,NA,NA,-0.282961076,-88.58,-15.032,-0.01368,0.0356,-0.0816
