GEOID,State,COUNTY,NCHS_URCS_2013,InitialCluster,Megacluster,totMarkSlope,IntCropFail,SlopeCropFail,DAPerChange,FarmJobROC,ManufROC,MiningROC,PerCroplandGain,PerCroplandLoss,RFLD_AFREQ,HWAV_AFREQ,DRGT_AFREQ,HAIL_AFREQ,YL2080q0.5,Per_Prod_Off_Farm_100Days,HOMI_RATE,SUI_RATE,DrugOD,AlcDeaths,PER_RURAL,PER_FARMRENT,PctEmpChange1020,Poverty_Rate_ACS,Ed1LessThanHSPct,PopChangeRate1019,CHR_MENTAL_DISTRESS,CHR_EXCESS_DRINK,CHR_PHYSICAL_DISTRESS,ACS_PCT_DIVORCE_SEPARAT,ACS_PCT_1FAM_HH_FOOD_STMP,ACS_PCT_DISABLE,ACS_PCT_WHITE,ACS_PCT_VA,perMarkSlope,opgr500kSlope,slopelargeCropOp,cattlegr500_slope,hogsSlope,SlopeBroilOp,layerSlope,turkeySlope,Adens_Slope
5001,Arkansas,Arkansas County,6,Medium,Medium,6871860,0.008699278,0.064697076,-0.103939239,0.00953381,0.139281212,0.00454472,0.510638298,3.250591017,1.833333333,1.235584843,7.867279657,3.638029565,-41.80132347,35.95,7.789115268,14.46549978,16.69096129,7.789115268,34.70739787,68.12363341,-2.2,17.34542551,16.09112131,-8.012,14.6,12.98,14.1,16.281,41.701,23.174,72.61,8.552,2.452096228,4.32,1,0.1,NA,NA,NA,NA,0.041375266
5003,Arkansas,Ashley County,6,Medium,Low,701980,5.566684771,0.441133605,-0.001234282,0.02830154,-0.673000134,0.01466066,1.345549738,1.465968586,1.791666666,2.059308072,16.54871431,3.709378907,-25.34241494,39.83,11.84413123,14.80516404,12.83114217,9.870109361,51.6816913,64.39430685,-27.2,16.65837149,16.71496885,-9.95,14.51,13.25,14.44,13.756,49.672,22.351,71.699,6.885,1.452463934,0.36,0.02,NA,NA,NA,NA,NA,-0.224273862
5005,Arkansas,Baxter County,5,Low,Low,581180,0,0,1.013300092,-0.034314964,-0.199048478,0.011756194,0.447580645,1.383064516,1.291666666,0.164744645,12.55002054,5.028691885,NA,52.12,5.313470614,33.32995203,20.77083967,12.55911236,65.84202539,21.75880289,3,13.10898063,11.26986625,1.017,14.1,12.92,13.6,14.747,36.993,21.517,96.77,14.687,1.526318659,0.02,0.14,0.02,NA,NA,NA,-0.12,-0.940132435
5007,Arkansas,Benton County,3,HighCons,Medium,13266120,-0.081842175,0.019033541,0.467271691,-0.077460035,-0.463751646,0.011483561,2.387267905,5.697612732,2.625,1.482701812,11.34125597,8.256202643,NA,52.75,2.413251162,17.19441453,13.57453779,10.33173154,25.16004861,25.71906807,33.5,9.439434709,11.41817178,25.404,13.02,17.33,13.3,11.954,20.747,9.318,88.278,8.938,1.162431428,0.08,0,1.16,-0.26,1.18,0.02,-1.3,-5.9925304
5009,Arkansas,Boone County,5,HighCons,High,4959440,-0.037401485,0.004488524,1.34029336,-0.028122458,-0.212261354,0.0055019,4.814814815,1.687242798,1.416666666,0.247116968,11.74137289,6.360921436,NA,52.89,4.81749715,25.15804067,13.91721399,13.38193653,62.19819527,24.8720262,-2.1,14.65738466,12.5890005,1.461,13.83,15.57,13.69,15.645,42.83,20.306,96.52,11.948,1.342559064,1.82,0.38,0.76,-0.04,-0.56,NA,0.86,1.242507697
5011,Arkansas,Bradley County,6,Low,Low,1540560,2.06719228,0.059081393,0.902980486,-0.079278553,-0.166499162,-0.008364998,0.462121212,0.196969697,1.333333333,0.988467874,19.92159103,3.670174622,NA,53.47,10.98619402,18.31032336,13.9,10.2,49.59158846,11.63682864,-10.9,20.51020408,18.96276596,-6.164,16.01,12.27,16.46,15.661,56.604,23.235,61.581,7.575,2.449512516,0.84,0.06,0.04,NA,-0.26,NA,NA,-0.616880448
5013,Arkansas,Calhoun County,5,Low,Low,224520,1.617674648,-0.076851406,0.669863224,-0.010423267,-0.048015066,-0.004988589,0.1484375,0.0859375,1.541666666,0.823723228,24.78900021,3.822175112,NA,64.24,7.666947788,23.00084336,13.9,10.2,100,21.61686233,-7,13.44936709,15.76540221,-3.226,14.91,13.53,15.1,13.67,34.262,29.018,76.622,10.477,0,0.12,NA,NA,NA,NA,NA,NA,-0.145849867
5015,Arkansas,Carroll County,6,HighCons,High,11457060,-0.023126948,0.002938252,0.847420708,-0.049956363,-0.015108108,-0.002154799,5.310218978,1.04379562,1.25,1.070840197,11.31277968,7.278268722,NA,54.15,3.574058057,25.73321801,20.72953673,21.44434834,72.83392844,24.31816382,2.4,14.79929183,13.72153939,3.001,14.35,13.16,14.49,16.058,30.698,17.199,93.377,12.71,1.341745264,3.26,0.02,0.5,-0.04,0.2,0,0.22,5.3328991
5017,Arkansas,Chicot County,6,Medium,Medium,4514720,18.69441146,-0.247975918,-0.0087792,0.070854284,-0.700362774,0.013739118,5.478723404,5.319148936,2.666666666,2.059308072,14.8802591,3.615293596,-48.20642077,36.4,7.1,22.98,13.9,10.2,54.27966102,63.73147142,-22.6,28.88173773,19.23128612,-14.247,15.87,11.39,17.07,16.252,51.965,24.46,42.703,7.692,2.087428982,2.5,1.58,-0.06,NA,NA,NA,NA,-0.416824163
5019,Arkansas,Clark County,5,Low,Low,-59160,0.273666766,0.533645786,1.010485003,-0.010124953,-0.663151672,0.006295428,0.408963585,0.941176471,3.333333333,0.823723228,28.15075569,5.087778267,-45.77814855,53.39,5.35886535,14.2903076,9.824586474,5.35886535,54.37703849,19.29616718,-8,20.28992828,10.04479538,-2.639,14.98,14.72,14.99,10.044,41.837,19.09,72.24,8.533,0.521075429,7.11E-18,-0.04,-0.08,-0.14,NA,NA,NA,-1.537535748
5021,Arkansas,Clay County,6,Medium,Medium,7916620,-2.054109419,0.445968705,-0.056376184,0.22205341,-1.487678889,0.016663251,1.535315985,2.286245353,1.166666666,3.212520593,13.19577802,3.30469998,-37.12250026,44.21,2.690088369,20.17566277,28.24592788,9.415309293,58.85717839,65.25750309,-22.3,21.12494049,17.52969121,-9.34,15.2,13.74,14.87,16.12,41.439,23.61,96.25,9.722,3.309096936,4.16,1.18,-0.08,NA,0.54,NA,NA,1.5099478
5023,Arkansas,Cleburne County,6,Low,Low,103640,-0.020053124,0.003461651,1.072521642,-0.043942762,-0.415355138,0.244181311,0.81557377,2.393442623,1.125,0.329489291,9.005865775,5.124136339,NA,52.7,7.957791872,24.6691548,12.732467,6.366233498,75.52175587,28.05833192,-10.9,13.96044809,14.05338897,-4.106,13.38,14.39,12.51,17.242,20.504,18.279,97.12,13.551,2.56521799,1.12,0.48,0.48,-0.04,-0.42,0,NA,-5.809122289
5025,Arkansas,Cleveland County,4,HighBalanced,Medium,3962360,0,0,0.16653147,-0.05499202,0.082598068,0.013200542,0.286919831,0.160337553,1.25,0.988467874,10.31540022,4.286218657,NA,35.88,12.27656649,12.27656649,17.18719309,0,100,15.4216105,-15.7,18.39381469,10.42288121,-8.309,13.86,14.42,13.61,14.425,49.209,22.566,86.676,10.569,1.284387823,2.04,-0.02,-0.06,NA,-0.16,NA,NA,4.577767224
5027,Arkansas,Columbia County,5,HighBalanced,Low,388300,0,0,0.471869825,-0.0409466,-0.437362937,0.193092345,0.177257525,0.18729097,1.125,1.15321252,27.82105128,5.540960095,NA,58.44,8.42914461,16.01537476,11.80080245,13.48663138,57.48615184,16.51178625,-11.3,24.99430083,14.12591228,-5.121,14.88,13.6,15.17,12.248,46.746,18.524,60.022,7.768,0.636978521,-0.28,0.08,-0.1,NA,-0.14,NA,NA,-2.012728351
5029,Arkansas,Conway County,6,HighBalanced,Low,4684880,1.318123266,0.182163551,0.281895568,-0.05116839,-0.193168407,0.111242444,1.892857143,3.46875,1.875,0.988467874,12.29600456,5.802035594,-41.0007213,48.8,4.779703467,22.94257664,9.559406934,5.735644161,70.51661731,35.55700348,-3.6,17.59571801,12.9504349,-1.758,14.44,14.03,14.35,14.373,33.087,20.876,85.275,9.305,2.410140347,2.32,-0.02,0.24,-0.48,1.4,NA,0,-1.51628032
5031,Arkansas,Craighead County,4,Medium,Medium,6181060,-0.903656654,0.441668298,-0.245729114,-0.043093639,-0.33859868,-0.001954823,1.089700997,3.079734219,2.625,4.036243822,11.76332985,3.684943377,-21.88173137,49.05,7.459986497,16.22547063,10.63048076,4.102992574,32.16822372,80.03030143,19.1,16.62751645,10.67513485,14.041,14.2,14.26,13.52,16.125,38.776,17.662,80.765,7.568,2.870454729,4.08,1.56,0,-0.02,NA,NA,NA,-0.282961076
5033,Arkansas,Crawford County,3,Low,Low,-72080,4.772407147,0.058106554,0.664065755,-0.04886924,0.107935745,-0.016182765,0.640816327,2.66122449,3.25,9.308072487,17.68563126,7.253846587,-43.68476276,51.68,2.869632591,22.3193646,16.26125135,7.333505511,51.9613224,31.001725,-4,17.15750489,15.02035214,2.1,14.44,15.6,13.72,13.715,31.35,18.776,90.229,10.361,1.03043412,-0.54,0.06,0.12,NA,-0.1,NA,-0.32,-5.265895418
5035,Arkansas,Crittenden County,2,Medium,Low,6203520,7.49769242,0.499671904,-0.073247239,-0.012214146,0.014227675,0,0.486486486,3.667953668,1.083333333,4.036243822,10.80639947,3.207275862,-37.63996897,39.12,23.43316409,13.15546054,16.85543382,5.344405846,20.887195,76.20513896,-5,22.2201368,17.38947912,-5.893,15.42,13.48,15.49,17.587,47.692,17.532,45.117,8.124,1.758572913,2.18,0.68,NA,NA,NA,NA,NA,-0.0647609
5037,Arkansas,Cross County,6,Medium,Low,4264140,-0.025688786,0.886434218,0.277591552,-0.0713587,-0.516920685,0.020743371,0.859922179,3.322957198,0.583333333,4.28336079,9.33306962,3.566895401,-43.30231816,39.22,3.559605596,24.91723917,16.61149278,20.17109838,56.7879127,69.03609414,-13.6,15.44926835,16.3554243,-8.079,14.77,13.49,14.79,14.335,32.118,21.859,74.673,8.059,1.951660212,2,0.52,-0.16,NA,NA,NA,NA,-0.578092202
5039,Arkansas,Dallas County,6,Low,Low,-19240,2.035685817,-0.096633738,0.44788875,-0.035872902,-0.49580878,0.031956841,0.014492754,0.065217391,1.208333333,0.823723228,12.90627522,4.859618442,NA,46.76,7.1,22.98,13.9,10.2,52.63676688,14.92146597,-15.9,14.65623082,16.05442177,-13.104,13.85,12.61,14.02,14.396,39.623,24.857,55.001,9.321,0,-0.06,0.02,NA,NA,NA,NA,NA,-0.155271337
5041,Arkansas,Desha County,6,Medium,Medium,5377420,5.707367975,0.249700998,-0.491138424,0.021503579,-0.093033833,0.017696427,1.403669725,2.758409786,1.25,1.235584843,9.869727194,3.137045216,-33.34620632,35.32,7.1,22.98,13.9,10.2,31.41912669,69.50886723,-6,29.13958929,18.93687708,-12.297,16.55,11.26,17.53,16.356,64.962,20.577,48.986,6.41,1.997694299,2.22,1.44,0,NA,-0.06,NA,NA,-0.318636959
5043,Arkansas,Drew County,6,Low,Low,2149000,3.35069802,0.235278373,-0.184386773,-0.000108731,-0.302669324,0.004370635,0.55988024,0.949101796,1.75,1.235584843,9.540708797,3.3125,-32.57869209,58.73,14.0505604,17.29299742,15.13137274,7.56568637,48.60878492,45.6100768,-7.7,18.83356385,13.08635623,-2.395,15.71,13.62,15.76,10.041,58.925,21.685,68.108,6.489,2.448271226,1.26,0.6,-0.08,NA,-0.1,NA,NA,-0.280005632
5045,Arkansas,Faulkner County,3,Low,Low,347620,1.696219539,0.110566869,2.174752917,-0.05453955,-0.485816189,0.112925775,0.967272727,2.381818182,2.291666666,1.235584843,10.05195123,5.645938955,-39.34768294,55.97,5.49942903,16.98353083,13.58682466,4.528941554,38.7602992,29.76677853,6.8,16.67383259,8.166708405,10.507,13.74,15.56,13.28,13.456,27.385,12.67,83.592,8.644,1.583762835,0.52,0.1,-0.02,NA,NA,NA,NA,-2.158416546
5047,Arkansas,Franklin County,6,HighCons,Medium,4457560,0.842565018,0.031697138,0.792615213,-0.102388511,-0.132425197,0.210433715,1.220472441,4.106299213,2.375,8.401976935,18.0148626,6.623831671,-50.90269873,49.46,5.634247208,28.17123604,20.28328995,13.5221933,82.60413793,24.98326977,-2.2,23.00402068,16.276941,-2.354,14.76,14.55,14.4,16.696,34.009,19.9,94.326,10.561,0.857944885,1.2,0.28,0.36,-0.04,1.12,NA,-0.98,2.537752338
5049,Arkansas,Fulton County,6,Low,Low,771420,0,0,1.264904273,-0.118044782,-0.040430098,-0.016977742,0.735074627,2.529850746,1.25,0.164744645,10.65918897,4.534229645,NA,53.17,1.63591153,26.17458448,16.3591153,13.08729224,92.919559,23.12924563,-2.2,20.71000998,14.40515196,2.145,14.79,12.89,14.4,11.625,36.276,25.42,96.504,12.279,2.041296525,0.44,0.14,0.14,NA,NA,NA,NA,-0.512527696
5051,Arkansas,Garland County,4,Low,Low,-336980,0,0,0.996108315,-0.013075857,-0.185607474,0.011429821,0.118811881,0.191419142,2.041666666,0.741350906,18.84642464,5.854957642,NA,45.25,8.945780438,28.87047323,28.66716004,18.50150045,36.90327418,24.29749632,-0.2,18.61752104,10.88474401,3.455,14.61,14.92,14.52,17.929,36.234,19.245,85.524,12.266,-0.271195405,0.1,-0.04,-0.04,-0.08,NA,NA,NA,-0.520815418
5053,Arkansas,Grant County,3,Low,Low,351820,0,0,1.916957978,-0.033388471,0.32206152,-0.037572212,0.19047619,0.341269841,1.125,0.988467874,9.333333333,5.156890821,NA,58.93,7.709081298,23.12724389,15.4181626,9.911675954,75.02940682,9.547320086,-2.3,14.52307692,9.198113208,2.119,13.19,15.42,12.8,14.912,27.024,17.131,93.844,11.449,0.538874818,0.18,0.18,0.48,NA,-0.02,NA,NA,1.016064486
5055,Arkansas,Greene County,5,Low,Medium,5500960,-3.871007102,0.75408225,0.067713554,-0.059578979,-0.214274602,-0.001553216,1.419491525,2.902542373,1.541666666,3.459637561,14.51002119,3.467350025,-35.00908533,48.06,5.790723261,29.39905656,14.25408803,6.236163512,41.50629603,70.82589816,2.7,16.43829401,11.75766443,7.403,13.8,16.05,13.34,17.616,43.844,20.624,95.94,9.47,3.489624216,2.98,1.38,0.04,NA,NA,NA,NA,-0.321966804
5057,Arkansas,Hempstead County,6,HighCons,Low,3936920,1.757715059,-0.079541099,0.582251068,-0.052006835,-0.502528908,-0.004268937,1.276666667,1.326666667,1.291666666,1.070840197,30.10633308,5.09598966,NA,46.9,9.158180086,6.410726061,11.90563411,3.663272035,55.76982618,23.15809814,-6.6,22.69227201,17.38432549,-4.709,15.9,12.29,16.76,18.917,28.947,20.088,62.977,7.254,1.031223376,1.02,0.16,0.32,-0.16,0.22,-0.04,NA,-4.79855771
5059,Arkansas,Hot Spring County,5,Low,Low,1011040,0.990802997,0.103905681,1.258482932,-0.03534533,-0.372231841,-0.056836234,0.380769231,0.630769231,1.958333333,0.823723228,15.17294689,5.655653372,-54.36477043,50.97,10.72411615,29.78921154,15.49039,11.31990038,65.96907937,26.15639265,1.8,18.03749044,14.16869057,1.625,13.65,15.73,13.69,16.282,34.75,24.198,85.757,10.229,3.020030632,0.58,0.06,-0.14,NA,0.18,NA,NA,-0.183704317
5061,Arkansas,Howard County,6,HighBalanced,Medium,6073880,0.117469939,-0.005271519,0.546364361,-0.024892274,-0.530300204,-0.006560372,1.148760331,1.520661157,0.958333333,0.823723228,30.71931158,5.044567049,NA,49.9,7.1,22.98,13.9,10.2,67.51758648,20.01718556,-13.6,19.39056056,14.77052727,-4.306,15.65,12.39,16.11,16.687,29.762,17.309,67.428,7.785,2.123891269,4.32,0.36,0.6,-0.92,0.86,NA,NA,-3.106380217
